level,episodes,success_rate,mean_steps,mean_reward,time_penalty,purity_reward,complete_reward,win_reward,blocked_penalty
1,100,1.0,1.36,118.58799999999995,-0.27199999999999996,3.86,10.0,105.0,0.0
2,100,0.89,6.64,118.12533333333329,-1.3279999999999998,9.743333333333332,13.35,97.9,0.0
3,100,0.96,23.09,173.78900000000002,-4.618000000000002,10.257,58.35,110.4,0.0
4,100,0.87,28.21,173.118,-5.642000000000001,11.159999999999998,65.8,104.4,0.0
5,100,0.03,23.26,16.402285714285714,-4.651999999999998,4.314285714285714,30.75,3.75,-0.6
6,100,0.02,17.72,3.821624999999994,-3.5439999999999996,3.895625,16.35,2.6,-1.6
7,100,0.0,12.15,-9.112222222222222,-2.43,2.0677777777777777,5.85,0.0,-2.0
8,100,0.0,11.85,-9.790000000000001,-2.37,1.94,5.6,0.0,-3.2
9,100,0.0,11.78,-11.491909090909086,-2.3560000000000003,1.7940909090909087,4.15,0.0,-3.6
10,100,0.0,10.7,-13.918333333333333,-2.14,1.4916666666666665,2.35,0.0,-5.4
11,100,0.0,10.79,-13.433384615384615,-2.158,1.4246153846153848,3.4,0.0,-7.0
12,100,0.0,10.79,-13.56407142857143,-2.1580000000000004,1.3539285714285716,2.8,0.0,-5.2
13,100,0.0,10.79,-13.56407142857143,-2.1580000000000004,1.3539285714285716,2.8,0.0,-5.2
14,100,0.0,10.79,-13.56407142857143,-2.1580000000000004,1.3539285714285716,2.8,0.0,-5.2
